device_id,heartbeat_ts,mv_in,ma_in
6,2025-04-27 15:37:14.164000 UTC,28000,7800
6,2025-04-27 15:37:44.168000 UTC,28000,7699
6,2025-04-27 15:38:14.174000 UTC,28000,4000
6,2025-04-27 15:38:44.276000 UTC,28000,2900
6,2025-04-27 15:39:14.280000 UTC,30000,3400
6,2025-04-27 15:39:44.283000 UTC,28000,2799
6,2025-04-27 15:40:14.290000 UTC,28000,2700
6,2025-04-27 15:40:44.392000 UTC,28000,2599
6,2025-04-27 15:41:14.396000 UTC,28000,2500
6,2025-04-27 15:41:44.398000 UTC,28000,2500
6,2025-04-27 15:42:14.504000 UTC,28000,2400
6,2025-04-27 15:42:44.507000 UTC,28000,2299
6,2025-04-27 15:43:14.511000 UTC,28000,2200
6,2025-04-27 15:43:44.514000 UTC,28000,2099
6,2025-04-27 15:44:14.622000 UTC,28000,2000
6,2025-04-27 15:44:44.623000 UTC,28000,2000
6,2025-04-27 15:45:14.626000 UTC,28000,2000
6,2025-04-27 15:45:44.732000 UTC,30000,2000
6,2025-04-27 15:46:14.735000 UTC,28000,2000
6,2025-04-27 15:46:44.744000 UTC,28000,1899
6,2025-04-27 15:47:14.741000 UTC,30000,2000
6,2025-04-27 15:47:44.851000 UTC,30000,2299
6,2025-04-27 15:48:14.850000 UTC,0,0
6,2025-04-27 15:48:44.858000 UTC,28000,2500
6,2025-04-27 15:49:14.959000 UTC,30000,2400
6,2025-04-27 15:49:44.962000 UTC,30000,2500
6,2025-04-27 15:50:14.966000 UTC,30000,2599
6,2025-04-27 15:50:44.969000 UTC,28000,3599
6,2025-04-27 15:51:15.075000 UTC,30000,2799
6,2025-04-27 15:51:45.078000 UTC,30000,2900
6,2025-04-27 15:52:15.081000 UTC,28000,3799
6,2025-04-27 15:52:45.187000 UTC,30000,6900
6,2025-04-27 15:53:15.190000 UTC,28000,6500
6,2025-04-27 15:53:45.193000 UTC,28000,2900
6,2025-04-27 15:54:15.197000 UTC,30000,2500
6,2025-04-27 15:54:45.302000 UTC,30000,2400
6,2025-04-27 15:55:15.309000 UTC,28000,2400
6,2025-04-27 15:55:45.309000 UTC,30000,2200
6,2025-04-27 15:56:15.415000 UTC,30000,2200
6,2025-04-27 15:56:45.418000 UTC,30000,2299
6,2025-04-27 15:57:15.421000 UTC,28000,2500
6,2025-04-27 15:57:45.424000 UTC,32000,4300
6,2025-04-27 15:58:15.530000 UTC,28000,5099
6,2025-04-27 15:58:45.536000 UTC,28000,2599
6,2025-04-27 15:59:15.537000 UTC,28000,2299
6,2025-04-27 15:59:45.642000 UTC,28000,2200
6,2025-04-27 16:00:15.645000 UTC,30000,2200
6,2025-04-27 16:00:45.649000 UTC,28000,2299
6,2025-04-27 16:01:15.656000 UTC,30000,2299
6,2025-04-27 16:01:45.758000 UTC,30000,2299
6,2025-04-27 16:02:15.761000 UTC,28000,2299
6,2025-04-27 16:02:45.764000 UTC,30000,2200
6,2025-04-27 16:03:15.870000 UTC,0,0
6,2025-04-27 16:03:45.873000 UTC,30000,2200
6,2025-04-27 16:04:15.876000 UTC,30000,2200
6,2025-04-27 16:04:45.982000 UTC,30000,2299
6,2025-04-27 16:05:15.985000 UTC,30000,2400
6,2025-04-27 16:05:45.988000 UTC,30000,2500
6,2025-04-27 16:06:15.992000 UTC,30000,2599
6,2025-04-27 16:06:46.097000 UTC,30000,2599
6,2025-04-27 16:07:16.100000 UTC,30000,2900
6,2025-04-27 16:07:46.104000 UTC,30000,2900
6,2025-04-27 16:08:16.212000 UTC,30000,3500
6,2025-04-27 16:08:46.212000 UTC,28000,7800
6,2025-04-27 16:09:16.218000 UTC,28000,8800
6,2025-04-27 16:09:46.222000 UTC,28000,8000
6,2025-04-27 16:10:16.325000 UTC,30000,3200
6,2025-04-27 16:10:46.331000 UTC,28000,2900
6,2025-04-27 16:11:16.331000 UTC,30000,2900
6,2025-04-27 16:11:46.439000 UTC,30000,2799
6,2025-04-27 16:12:16.440000 UTC,30000,3099
6,2025-04-27 16:12:46.444000 UTC,28000,3500
6,2025-04-27 16:13:16.449000 UTC,28000,5000
6,2025-04-27 16:13:46.556000 UTC,28000,7300
6,2025-04-27 16:14:16.559000 UTC,28000,7699
6,2025-04-27 16:14:46.559000 UTC,28000,7400
6,2025-04-27 16:15:16.671000 UTC,28000,7099
6,2025-04-27 16:15:46.668000 UTC,36000,0
6,2025-04-27 16:16:16.673000 UTC,28000,7500
6,2025-04-27 16:16:46.674000 UTC,28000,7500
6,2025-04-27 16:17:16.784000 UTC,28000,7699
6,2025-04-27 16:17:46.791000 UTC,28000,8300
6,2025-04-27 16:18:16.791000 UTC,28000,8199
6,2025-04-27 16:18:46.892000 UTC,28000,8000
6,2025-04-27 16:19:16.895000 UTC,28000,8000
6,2025-04-27 16:19:46.903000 UTC,28000,8000
6,2025-04-27 16:20:16.902000 UTC,28000,8199
6,2025-04-27 16:20:47.008000 UTC,28000,4500
6,2025-04-27 16:21:17.011000 UTC,28000,7400
6,2025-04-27 16:21:47.014000 UTC,28000,8000
6,2025-04-27 16:22:17.120000 UTC,28000,8800
6,2025-04-27 16:22:47.123000 UTC,28000,9399
6,2025-04-27 16:23:17.129000 UTC,28000,6800
6,2025-04-27 16:23:47.130000 UTC,28000,9300
6,2025-04-27 16:24:17.235000 UTC,28000,9300
6,2025-04-27 16:24:47.238000 UTC,28000,9300
6,2025-04-27 16:25:17.258000 UTC,26000,9399
6,2025-04-27 16:25:47.350000 UTC,26000,9300
6,2025-04-27 16:26:17.351000 UTC,28000,9100
6,2025-04-27 16:26:47.354000 UTC,26000,8899
6,2025-04-27 16:27:17.459000 UTC,26000,8699
6,2025-04-27 16:27:47.467000 UTC,28000,8100
6,2025-04-27 16:28:17.466000 UTC,26000,8199
6,2025-04-27 16:28:47.474000 UTC,26000,9100
6,2025-04-27 16:29:17.576000 UTC,28000,3700
6,2025-04-27 16:29:47.579000 UTC,24000,4500
6,2025-04-27 16:30:17.581000 UTC,28000,7199
6,2025-04-27 16:30:47.693000 UTC,28000,8500
6,2025-04-27 16:31:17.690000 UTC,28000,8300
6,2025-04-27 16:31:47.695000 UTC,28000,7900
6,2025-04-27 16:32:17.702000 UTC,28000,8300
6,2025-04-27 16:32:47.812000 UTC,26000,2400
6,2025-04-27 16:33:17.808000 UTC,28000,2099
6,2025-04-27 16:33:47.809000 UTC,28000,2000
6,2025-04-27 16:34:17.918000 UTC,28000,1899
6,2025-04-27 16:34:47.922000 UTC,28000,1700
6,2025-04-27 16:35:17.923000 UTC,28000,1500
6,2025-04-27 16:35:47.928000 UTC,28000,1399
6,2025-04-27 16:36:18.032000 UTC,28000,1299
6,2025-04-27 16:36:48.033000 UTC,28000,1299
6,2025-04-27 16:37:18.036000 UTC,28000,1399
6,2025-04-27 16:37:48.146000 UTC,28000,1500
6,2025-04-27 16:38:18.145000 UTC,28000,1500
6,2025-04-27 16:38:48.171000 UTC,28000,1600
6,2025-04-27 16:39:18.152000 UTC,28000,1600
6,2025-04-27 16:39:48.258000 UTC,28000,1600
6,2025-04-27 16:40:18.261000 UTC,28000,1600
6,2025-04-27 16:40:48.268000 UTC,28000,1600
6,2025-04-27 16:41:18.370000 UTC,28000,1500
6,2025-04-27 16:41:48.378000 UTC,28000,1500
6,2025-04-27 16:42:18.377000 UTC,28000,1399
6,2025-04-27 16:42:48.379000 UTC,30000,1399
6,2025-04-27 16:43:18.486000 UTC,28000,1399
6,2025-04-27 16:43:48.488000 UTC,30000,1399
6,2025-04-27 16:44:18.492000 UTC,28000,1399
6,2025-04-27 16:44:48.598000 UTC,28000,1399
6,2025-04-27 16:45:18.598000 UTC,28000,1399
6,2025-04-27 16:45:48.604000 UTC,30000,1399
6,2025-04-27 16:46:18.608000 UTC,28000,1600
6,2025-04-27 16:46:48.713000 UTC,30000,8800
6,2025-04-27 16:47:18.717000 UTC,28000,1799
6,2025-04-27 16:47:48.719000 UTC,28000,1600
6,2025-04-27 16:48:18.828000 UTC,28000,1600
6,2025-04-27 16:48:48.832000 UTC,30000,1600
6,2025-04-27 16:49:18.833000 UTC,30000,1799
6,2025-04-27 16:49:48.937000 UTC,28000,2900
6,2025-04-27 16:50:18.944000 UTC,30000,2299
6,2025-04-27 16:50:48.944000 UTC,28000,3099
6,2025-04-27 16:51:18.948000 UTC,30000,2200
6,2025-04-27 16:51:49.056000 UTC,30000,2200
6,2025-04-27 16:52:19.059000 UTC,30000,2299
6,2025-04-27 16:52:49.059000 UTC,30000,2500
6,2025-04-27 16:53:19.164000 UTC,30000,8000
6,2025-04-27 16:53:49.168000 UTC,28000,6900
6,2025-04-27 16:54:19.175000 UTC,30000,9199
6,2025-04-27 16:54:49.175000 UTC,28000,1899
6,2025-04-27 16:55:19.280000 UTC,28000,1799
6,2025-04-27 16:55:49.283000 UTC,28000,1600
6,2025-04-27 16:56:19.287000 UTC,28000,1399
6,2025-04-27 16:56:49.393000 UTC,28000,1399
6,2025-04-27 16:57:19.396000 UTC,28000,1399
6,2025-04-27 16:57:49.399000 UTC,30000,1399
6,2025-04-27 16:58:19.402000 UTC,28000,1399
6,2025-04-27 16:58:49.510000 UTC,28000,1399
6,2025-04-27 16:59:19.515000 UTC,28000,1399
6,2025-04-27 16:59:49.520000 UTC,28000,1500
6,2025-04-27 17:00:19.620000 UTC,28000,1500
6,2025-04-27 17:00:49.623000 UTC,28000,1500
6,2025-04-27 17:01:19.626000 UTC,30000,1600
6,2025-04-27 17:01:49.732000 UTC,30000,1700
6,2025-04-27 17:02:19.740000 UTC,30000,1799
6,2025-04-27 17:02:49.738000 UTC,30000,1799
6,2025-04-27 17:03:19.745000 UTC,30000,1899
6,2025-04-27 17:03:49.847000 UTC,30000,3000
6,2025-04-27 17:04:19.850000 UTC,28000,8100
6,2025-04-27 17:04:49.854000 UTC,28000,5099
6,2025-04-27 17:05:19.960000 UTC,30000,3700
6,2025-04-27 17:05:49.968000 UTC,30000,2200
6,2025-04-27 17:06:19.966000 UTC,30000,1899
6,2025-04-27 17:06:49.969000 UTC,28000,1799
6,2025-04-27 17:07:20.075000 UTC,30000,1700
6,2025-04-27 17:07:50.078000 UTC,28000,1700
6,2025-04-27 17:08:20.082000 UTC,30000,1600
6,2025-04-27 17:08:50.187000 UTC,30000,1500
6,2025-04-27 17:09:20.191000 UTC,30000,1500
6,2025-04-27 17:09:50.195000 UTC,30000,1500
6,2025-04-27 17:10:20.204000 UTC,30000,1500
6,2025-04-27 17:10:50.303000 UTC,30000,1500
6,2025-04-27 17:11:20.310000 UTC,30000,1600
6,2025-04-27 17:11:50.309000 UTC,30000,1500
6,2025-04-27 17:12:20.424000 UTC,30000,1399
6,2025-04-27 17:12:50.418000 UTC,30000,1500
6,2025-04-27 17:13:20.424000 UTC,30000,1600
6,2025-04-27 17:13:50.528000 UTC,30000,1799
6,2025-04-27 17:14:20.534000 UTC,30000,2099
6,2025-04-27 17:14:50.536000 UTC,30000,2099
6,2025-04-27 17:15:20.537000 UTC,28000,2400
6,2025-04-27 17:15:50.648000 UTC,30000,2200
6,2025-04-27 17:16:20.648000 UTC,36000,0
6,2025-04-27 17:16:50.652000 UTC,30000,2099
6,2025-04-27 17:17:20.755000 UTC,30000,2099
6,2025-04-27 17:17:50.760000 UTC,30000,2299
6,2025-04-27 17:18:20.761000 UTC,30000,2500
6,2025-04-27 17:18:50.765000 UTC,28000,9300
6,2025-04-27 17:19:20.870000 UTC,30000,8899
6,2025-04-27 17:19:50.873000 UTC,30000,2599
6,2025-04-27 17:20:20.876000 UTC,30000,1899
